"table_catalog";"table_schema";"table_name";"table_type";"self_referencing_column_name";"reference_generation";"user_defined_type_catalog";"user_defined_type_schema";"user_defined_type_name";"is_insertable_into";"is_typed";"commit_action"
"coagiswarehouse";"coagis";"census_2010_tracts_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_asc_2011_receipt_of_food_stamps_snap_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_acs_2011_family_income_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_asc_2011_median_monthly_housing_cost_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_asc_2011_median_household_income_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_asc_2011_per_capita_income_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_asc_2011_poverty_status_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs12_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_adoptastreet_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_generalized_incity_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_generalized_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_limits_aspoint_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_midpoint_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_line_street_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs7_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_no_trucks_aspoint_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_one_way_aspoints_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_2010_blocks_aspoint_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"census_2010_blockgroups_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_fire_census_2010_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_shape_forjobonly_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_firestation_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fire_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs8_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_cjiscad_fs9_respplan_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_arson_locations_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_bc_property_history_view";"VIEW";"";"";"";"";"";"NO";"NO";""
